time/iterations,time/time_elapsed,train/value_loss,train/policy_loss,train/explained_variance,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/entropy_loss,time/fps
100,35,0.0007663249270990491,-0.04921548068523407,0.16462010145187378,12800,0.13565944000000002,103.84,99,0.001,-1.9447656869888306,364
200,68,0.003115303348749876,0.045317623764276505,0.3586985468864441,25600,0.13822380000000004,86.76,199,0.001,-1.943514108657837,375
300,102,0.006172858644276857,-0.079328253865242,0.02950286865234375,38400,0.13081550000000003,100.09,299,0.001,-1.9357603788375854,374
400,138,0.0006405890453606844,-0.0030418173409998417,0.828558012843132,51200,0.14965102000000002,94.8,399,0.001,-1.938572645187378,370
500,171,4.019229891127907e-05,-0.0032820613123476505,0.23997986316680908,64000,0.16006021,114.66,499,0.001,-1.9399116039276123,372
600,204,0.00035674645914696157,-0.019241079688072205,0.8747685998678207,76800,0.15203201000000002,87.44,599,0.001,-1.926110863685608,375
700,237,0.0025798543356359005,0.07722695171833038,0.06610900163650513,89600,0.19272780000000003,127.96,699,0.001,-1.93352472782135,376
800,271,0.00033075021929107606,-0.014208091422915459,0.891948752105236,102400,0.17582687999999994,123.53,799,0.001,-1.8595725297927856,376
900,305,0.004565549548715353,-0.09600275754928589,0.8066280633211136,115200,0.23030864,128.9,899,0.001,-1.694997787475586,377
1000,337,0.004544779192656279,0.06236479431390762,0.7196215093135834,128000,0.25501957,174.62,999,0.001,-1.7866305112838745,378
1100,369,6.525442586280406e-05,0.007213807664811611,-2.37821888923645,140800,0.29081156,206.76,1099,0.001,-1.8722529411315918,380
1200,401,0.0021721175871789455,0.07665953040122986,0.037859976291656494,153600,0.3693566300000001,192.21,1199,0.001,-1.8472087383270264,382
1300,433,0.004006378818303347,-0.02695354074239731,0.5883264541625977,166400,0.49225871,173.18,1299,0.001,-1.0008747577667236,383
1400,466,0.0048360675573349,-0.06523025780916214,0.7070100009441376,179200,0.5666886000000001,185.98,1399,0.001,-1.636647343635559,384
1500,498,0.006142948288470507,-0.018800821155309677,0.41330814361572266,192000,0.58209572,175.57,1499,0.001,-1.6275914907455444,385
1600,530,0.00035275734262540936,0.017207488417625427,-0.881348729133606,204800,0.61145618,191.55,1599,0.001,-1.813431739807129,386
1700,562,0.016899146139621735,0.031142614781856537,0.4797772169113159,217600,0.59646137,106.48,1699,0.001,-1.1190309524536133,386
1800,595,0.014795615337789059,-0.08091576397418976,0.7806382924318314,230400,0.73836017,107.45,1799,0.001,-0.7256658673286438,387
1900,627,0.010529763996601105,0.09747941792011261,0.6069241464138031,243200,0.82210915,136.97,1899,0.001,-1.186713457107544,387
2000,659,0.0017335370648652315,0.016521591693162918,0.8004976958036423,256000,0.71542459,120.02,1999,0.001,-1.582801342010498,388
2100,691,0.019453242421150208,-0.030985845252871513,0.6796937882900238,268800,0.8773931299999999,171.89,2099,0.001,-0.9427047967910767,388
2200,723,0.006234823726117611,0.017914436757564545,0.8685075044631958,281600,1.0693101900000002,116.56,2199,0.001,-0.6919382810592651,389
2300,755,0.01739591732621193,-0.06010535731911659,0.7652173340320587,294400,1.0874483999999998,119.26,2299,0.001,-0.8223879933357239,389
2400,787,0.008307408541440964,0.03783577308058739,0.8606449663639069,307200,1.00033416,129.42,2399,0.001,-1.0510623455047607,390
2500,822,0.010074252262711525,0.0726303830742836,0.8637057393789291,320000,1.01963316,151.78,2499,0.001,-0.9855700135231018,389
2600,855,0.019933894276618958,0.08791723847389221,0.7783529162406921,332800,1.10692358,114.58,2599,0.001,-1.0098702907562256,388
2700,888,0.034805335104465485,-0.10540104657411575,0.8377104848623276,345600,1.13248426,117.51,2699,0.001,-0.6812753677368164,389
2800,922,0.014857198111712933,-0.1014888733625412,0.8231104612350464,358400,1.13019934,126.97,2799,0.001,-0.9620670080184937,388
2900,956,0.006052777171134949,0.005687601398676634,0.7564042657613754,371200,1.1684407799999998,120.09,2899,0.001,-0.7341220378875732,387
3000,989,0.008229129947721958,-0.0630684643983841,0.8999614864587784,384000,1.13466821,122.22,2999,0.001,-0.8050566911697388,388
3100,1022,0.01565384492278099,-0.060565851628780365,0.8250243216753006,396800,1.12849783,120.58,3099,0.001,-0.7923861742019653,388
3200,1055,0.0048294225707650185,-0.026793835684657097,0.9156749695539474,409600,1.08690632,109.76,3199,0.001,-0.9973439574241638,388
3300,1090,0.014015897177159786,-0.052384547889232635,0.8408351540565491,422400,1.1585506499999998,121.05,3299,0.001,-0.5619910359382629,387
3400,1124,0.004991824738681316,0.005041421391069889,0.9081103578209877,435200,1.17070796,117.8,3399,0.001,-0.7202892303466797,387
3500,1158,0.023491259664297104,-0.12496531009674072,0.672063559293747,448000,1.08954099,116.45,3499,0.001,-0.8990235328674316,386
3600,1193,0.010699974372982979,-0.05475824326276779,0.9179911240935326,460800,1.1392856599999999,125.55,3599,0.001,-0.8994235992431641,386
3700,1228,0.0028838939033448696,-0.02442367747426033,0.9680261574685574,473600,1.14132546,112.77,3699,0.001,-0.7045730352401733,385
3800,1263,0.007544681429862976,0.030877932906150818,0.8971139714121819,486400,1.11096985,99.74,3799,0.001,-0.6894770860671997,385
3900,1297,0.006451483350247145,-0.015119073912501335,0.8874738365411758,499200,1.1280198499999998,112.91,3899,0.001,-0.8070988655090332,384
